approach;log;config;with_labels;label;precision;recall;F$_1$-score;support;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support;n;m
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;TRUE;TF_03.csv;0.9865771812080537;0.901840490797546;0.9423076923076924;326;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;9.498.033.020.000.090;full;38;8856;82;2272;48;1703141;0;0.0040043470975622145;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;TRUE;TF_13.csv;0.9696969696969697;0.9667673716012085;0.968229954614221;331;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;9.498.033.020.000.090;full;38;8856;82;2272;48;1703141;0;0.0040043470975622145;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;TRUE;TF_04.csv;0.870020964360587;0.9764705882352941;0.9201773835920177;425;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;9.498.033.020.000.090;full;38;8856;82;2272;48;1703141;0;0.0040043470975622145;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.1-labels=None;TRUE;TF_02.csv;0.9644128113879004;0.8914473684210527;0.9264957264957266;304;0.2337739150504262;138;120;0.9371622360792036;0.8358678782669496;0.8842625906207794;0.8782995364542384;1.0;1.0;1.0;1.0;9.498.033.020.000.090;full;38;8856;82;2272;48;1703141;0;0.0040043470975622145;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;FALSE;TF_03.csv;0.8743718592964824;0.5337423312883436;0.6628571428571429;326;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.253.799.363.000.090;full;38;8856;82;2272;48;1703141;0;0.0025149284130477918;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;FALSE;TF_13.csv;0.6078431372549019;0.46827794561933533;0.5290102389078497;331;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.253.799.363.000.090;full;38;8856;82;2272;48;1703141;0;0.0025149284130477918;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;FALSE;TF_04.csv;0.5991058122205664;0.9458823529411765;0.7335766423357665;425;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.253.799.363.000.090;full;38;8856;82;2272;48;1703141;0;0.0025149284130477918;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;FALSE;TF_02.csv;0.9655172413793104;0.8289473684210527;0.8920353982300885;304;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.253.799.363.000.090;full;38;8856;82;2272;48;1703141;0;0.0025149284130477918;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0;0;0;0;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;TRUE;TF_03.csv;0.8743718592964824;0.5337423312883436;0.6628571428571429;326;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.943.330.866.999.980;full;38;8856;82;2272;48;1703141;0;0.0026293622101393075;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
Ours old;L3.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.1-labels=None;TRUE;TF_13.csv;0.6078431372549019;0.46827794561933533;0.5290102389078497;331;0.2337739150504262;138;120;0.7567141242231495;0.41135987280828396;0.55669517343641;0.5832022604567816;0.8085263937374378;0.5003184716166005;0.6082423445007398;0.6296711960001579;8.943.330.866.999.980;full;38;8856;82;2272;48;1703141;0;0.0026293622101393075;0;46;0;0.0;0;0;0;0;0;0;0;0;0;46;0;0.0;0;0;0.581140350877193;0.7083333333333334;0.6250343727657702;120;0;0
