approach;log;config;with_labels;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat;obj_tp;obj_fp;obj_fn;obj_prec;obj_rec;obj_f1;obj_obj_relations_tp;obj_obj_relations_fp;obj_obj_relations_fn;obj_obj_relations_prec;obj_obj_relations_rec;obj_obj_relations_f1;obj_task_relations_tp;obj_task_relations_fp;obj_task_relations_fn;obj_task_relations_prec;obj_task_relations_rec;obj_task_relations_f1;label_prec;label_rec;label_f1;label_support
Ours;L2.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.3-labels=None;True;0.945364282690479;0.9434546862896979;0.9435880864097838;0.04691829395734762;241;240;0.9434626217934503;0.8596995395809498;0.8937962795888675;0.8989510037761449;0.9496542185338865;0.8752801548643131;0.9007639086689887;0.9103527290000305;218.06101531600007;full;117;8856;149;9312;48;11779362;0.017629477694431715;0.002170391726098308;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0.6458616890271567;0.7333333333333333;0.6593029333108966;240
Ours;L2.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.3-labels=None;True;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.04691829395734762;241;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9948132780082988;0.9872853188518449;0.991742327759747;0.9909191413891434;168.39211866899996;full;117;8856;149;9312;48;11779447;0.017521177395302893;0.002022213999983554;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0.6458616890271567;0.7333333333333333;0.6593029333108966;240
Ours;L2.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;True;0.9836658134102654;0.9830696027442736;0.9831433594915501;0.04691829395734762;241;240;0.9824962136135722;0.9562704552512462;0.9669113642864899;0.9684003115043901;0.9948132780082988;0.9872853188518449;0.991742327759747;0.9909191413891434;167.52427888600005;full;117;8856;149;9312;48;11779447;0.017265729143153673;0.03988988049991349;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;7760;0;0;1.0;1.0;1.0;1025;55;73;0.9490740740740741;0.9335154826958105;0.941230486685032;0.6458616890271567;0.7333333333333333;0.6593029333108966;240
Ours;L1.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.3-labels=None;False;0.9156493778287389;0.91282302911351;0.9122512834486647;0.03877571556013127;202;200;0.8933304993444527;0.7757626298690609;0.8411040611838244;0.8632811838795602;0.8388749322693463;0.6527419825512661;0.7822630521758644;0.7797857804083546;98.97141424499978;full;69;8856;123;9312;48;6374635;0.01097207983991745;0.0017532070792343137;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=100-similarity_thresh=0.3-labels=None;False;0.9156493778287389;0.91282302911351;0.9122512834486647;0.03877571556013127;202;200;0.8933304993444527;0.7757626298690609;0.8411040611838244;0.8632811838795602;0.8388749322693463;0.6527419825512661;0.7822630521758644;0.7797857804083546;106.8451038369999;full;69;8856;123;9312;48;6374635;0.01103284241994906;0.0017708143899994866;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.3-labels=None;False;0.9490058205287721;0.9471704285246975;0.946152620790481;0.03877571556013127;202;200;0.9250721380203957;0.8422894743800616;0.8990957691277531;0.9036802382766893;0.9489680311314713;0.8909672324947387;0.9066468512977057;0.9317437834812875;109.77079320799976;full;69;8856;123;9312;48;6374661;0.011061019647326852;0.0017989393593727716;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.3-labels=None;False;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;100.05633909500011;full;69;8856;123;9312;48;6374661;0.011052454424592673;0.001827123639354969;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.3-labels=None;False;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;99.45743505900009;full;69;8856;123;9312;48;6374661;0.01109265170068522;0.0018013115237825634;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;False;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;96.57330233700031;full;69;8856;123;9312;48;6374661;0.010699951814370182;0.025072517999888078;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0;0;0;0
Ours;L1.csv;max_buffer_size=250-warm_up_events=0-similarity_thresh=0.3-labels=None;True;0.9156493778287389;0.91282302911351;0.9122512834486647;0.03877571556013127;202;200;0.8933304993444527;0.7757626298690609;0.8411040611838244;0.8632811838795602;0.8388749322693463;0.6527419825512661;0.7822630521758644;0.7797857804083546;99.38102397900002;full;69;8856;123;9312;48;6374635;0.011042753603229788;0.0017658374356347615;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0.9212328767123288;0.885;0.8785767078450004;200
Ours;L1.csv;max_buffer_size=250-warm_up_events=100-similarity_thresh=0.3-labels=None;True;0.9156493778287389;0.91282302911351;0.9122512834486647;0.03877571556013127;202;200;0.8933304993444527;0.7757626298690609;0.8411040611838244;0.8632811838795602;0.8388749322693463;0.6527419825512661;0.7822630521758644;0.7797857804083546;106.01321839499997;full;69;8856;123;9312;48;6816712;0.010981833496511733;0.0017686292650250833;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0.9212328767123288;0.885;0.8785767078450004;200
Ours;L1.csv;max_buffer_size=250-warm_up_events=250-similarity_thresh=0.3-labels=None;True;0.9490058205287721;0.9471704285246975;0.946152620790481;0.03877571556013127;202;200;0.9250721380203957;0.8422894743800616;0.8990957691277531;0.9036802382766893;0.9489680311314713;0.8909672324947387;0.9066468512977057;0.9317437834812875;109.71998616700012;full;69;8856;123;9312;48;6816738;0.011015820821346356;0.0017827028906391245;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0.9212328767123288;0.885;0.8785767078450004;200
Ours;L1.csv;max_buffer_size=250-warm_up_events=500-similarity_thresh=0.3-labels=None;True;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;106.76480541000001;full;69;8856;123;9312;48;6816738;0.011742566399064359;0.0019431533989115793;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0.9212328767123288;0.885;0.8785767078450004;200
Ours;L1.csv;max_buffer_size=250-warm_up_events=1000-similarity_thresh=0.3-labels=None;True;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;108.94137540499969;full;69;8856;123;9312;48;6816738;0.012301071591649934;0.001953988166668469;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0.9212328767123288;0.885;0.8785767078450004;200
Ours;L1.csv;max_buffer_size=250-warm_up_events=offline-similarity_thresh=0.3-labels=None;True;0.9874503637365667;0.987078835459601;0.9871053139059315;0.03877571556013127;202;200;0.98128208137219;0.9601381360832404;0.9745591625497448;0.9751820190591263;0.9852224028372987;0.9683711968757059;0.9803921568627451;0.9801565697080529;107.4070714100003;full;69;8856;123;9312;48;6816738;0.013104320389790095;0.04785752000020693;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;2500;0;0;1.0;1.0;1.0;550;54;72;0.9105960264900662;0.8842443729903537;0.897226753670473;0.9212328767123288;0.885;0.8785767078450004;200
