approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;L3.csv;N=45-M=10-t=0.1-w=1500-w=1500;0.10756176386095949;0.32796610169491525;0.16199474327496133;0.8009084431777699;3;120;0.25819496556978766;0.0;0.10756176386095949;0.5081288867696735;1.0;1.0;1.0;1.0;0.7938515219999971;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=15-t=0.1-w=1500-w=1500;0.10499939096651931;0.3240360951599672;0.1586050279903185;0.8101449122091425;6;120;0.25700222664947847;0.0;0.10499939096651931;0.5069538703368172;1.0;1.0;1.0;1.0;0.7333762190000073;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=20-t=0.1-w=1500-w=1500;0.10604070087109352;0.325638911788953;0.15998429123959756;0.8105665042875899;5;120;0.257344118583334;0.0;0.10604070087109352;0.507290960478633;0.6;0.0;0.64;0.7745966692414834;0.6882830109999958;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=25-t=0.1-w=1500-w=1500;0.10233414438243074;0.31989708404802747;0.15506382371658772;0.8551352408090421;4;120;0.25661260757219945;0.0;0.10233414438243074;0.5065694499002081;0.5;0.0;0.5625;0.7071067811865476;0.8014395590000021;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=30-t=0.1-w=1500-w=1500;0.10084177378310884;0.31755593803786575;0.15307399233961133;0.864720695970696;3;120;0.2561860583715445;0.0;0.10084177378310884;0.5061482573036723;0.3333333333333333;0.0;0.4444444444444444;0.5773502691896257;0.7060220699999888;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=35-t=0.1-w=1500-w=1500;0.09935016898291078;0.31519861830742657;0.1510800993857002;0.9707788275193798;2;120;0.2557713579428664;0.0;0.09935016898291078;0.5057384283825646;1.0;1.0;1.0;1.0;0.7350398680000012;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=40-t=0.1-w=1500-w=1500;0.0940267444596449;0.30663780663780665;0.14392166518063815;0.9891774891774892;1;120;0.2539536676720792;0.0;0.0940267444596449;0.5039381585790852;1.0;1.0;1.0;0.0;0.7669537840000089;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=45-t=0.1-w=1500-w=1500;0.08187615077258623;0.28614008941877794;0.12732073503686064;0.977645305514158;1;120;0.25100874168650045;0.0;0.08187615077258623;0.5010077261744578;1.0;1.0;0.0;0.0;0.7408308119999845;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=45-M=50-t=0.1-w=1500-w=1500;0.08311013716419122;0.2882882882882883;0.12902412902412902;0.9774774774774775;1;120;0.25115943010679853;0.0;0.08311013716419122;0.501158088936813;1.0;1.0;0.0;0.0;0.736771836999992;full;0;0;0;0;0;0;0;0
Urabe et al.;L3.csv;N=50-M=5-t=0.1-w=1500-w=1500;0.0940267444596449;0.30663780663780665;0.14392166518063815;0.9891774891774892;1;120;0.2539536676720792;0.0;0.0940267444596449;0.5039381585790852;1.0;1.0;1.0;0.0;0.6578018189999852;full;0;0;0;0;0;0;0;0
