approach;log;config;precision;recall;F$_1$-score;ED;Seg. found;Seg. true;rand_mic;ari_mic;jaccard_mic;fowlkes_mallows_mic;rand_mac;ari_mac;jaccard_mac;fowlkes_mallows_mac;runtime;part;num_classes;sizeof_cooc;max_num_events;max_buffer_size;size_clust;size_full;avg_resp_seg;avg_resp_cat
Urabe et al.;L2.csv;N=10-M=15-t=0.1-w=1500-w=1500;0.8042181807626398;0.8049215009464424;0.7996962746190818;0.539028133961374;210;240;0.8435702047554489;0.6127376974075521;0.6826414198090388;0.7215132774823645;0.8535429482797904;0.6268213214610157;0.7028605558611978;0.7271047396195777;4.391104321999933;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=10-M=20-t=0.1-w=1500-w=1500;0.5970285815490836;0.7100446428571429;0.643880921897166;0.577444643655903;144;240;0.7543178597340264;0.45564541714143264;0.5283537884398206;0.6415504251236167;0.9067599067599068;0.7954768166461132;0.7284846427686503;0.8696677590469217;3.4329174309999644;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=15-M=5-t=0.1-w=1500-w=1500;0.8783369516218397;0.8737626515404293;0.8732768021682572;0.47445382300565464;201;240;0.8782399752366382;0.7010855126378187;0.7770797754275335;0.7863309611721684;0.9928358208955224;0.9834166899053018;0.990103247204836;0.9886556066026142;3.4067854899999475;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=15-M=10-t=0.1-w=1500-w=1500;0.8434334851205478;0.8438682394836412;0.8426494047101145;0.5895418378937012;218;240;0.8693376861131041;0.6755143582720478;0.7374453128223215;0.7661815227777449;0.8887244746966558;0.7219812640314068;0.7882164195336064;0.7989000912995168;4.26354487399999;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=15-M=15-t=0.1-w=1500-w=1500;0.7604786399106196;0.7626059794734493;0.7346256704989972;0.5583469265109048;165;240;0.8037194708395858;0.5352233768553905;0.611591378688832;0.6765712592048267;0.8805617147080562;0.7121911842609417;0.7530516663849998;0.7975358659310915;4.9724532079999335;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=15-M=20-t=0.1-w=1500-w=1500;0.575449285384745;0.6704241071428572;0.6153766059404261;0.5934427974916487;140;240;0.7372887200420966;0.40037268275487725;0.49504933699815135;0.5936260930802856;0.8992805755395683;0.7790639134914065;0.7142313546423136;0.8576160487000555;4.1733476829999745;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=20-M=5-t=0.1-w=1500-w=1500;0.8717430076265732;0.8633374205774161;0.8629206528680489;0.4176267053448377;174;240;0.8667551966966021;0.6753978301942201;0.7614398539150018;0.7693117900399377;1.0;1.0;1.0;1.0;3.8921196610001516;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=20-M=10-t=0.1-w=1500-w=1500;0.8448844126571265;0.8453149343423103;0.8438772088329075;0.5877035210682243;215;240;0.869787430419495;0.6767715211138179;0.7390160662853553;0.7671530414695555;0.9255379265377092;0.8180758150172732;0.8590819273445812;0.8705344441604085;3.915209209000068;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=20-M=15-t=0.1-w=1500-w=1500;0.6239213098537916;0.7259036144578314;0.6666253828606835;0.5597702709268683;152;240;0.7783464302124012;0.4898865311665492;0.5574748436619449;0.6530368573473065;0.8618856744510283;0.6835109054000454;0.6651144770137906;0.7871278966812321;5.353208912999889;full;0;0;0;0;0;0;0;0
Urabe et al.;L2.csv;N=20-M=20-t=0.1-w=1500-w=1500;0.5963077702860199;0.7003682624707064;0.6407290527419821;0.5781280372304713;159;240;0.7607706559774897;0.4543860218248258;0.52525305475436;0.6312417452577592;0.8992118461905899;0.7798051972490635;0.6782920519102245;0.8601389058276514;4.0737249200001315;full;0;0;0;0;0;0;0;0
